value,id
Nepal-Pradesh_1-Taplejung-1-NCP_UML-1,29479
Nepal-Pradesh_1-Taplejung-1-Nepali_Congress-2,16888
Nepal-Pradesh_1-Taplejung-1-Sanghiya_Loktantrik-3,1591
Nepal-Pradesh_1-Taplejung-1-Sanghiya_Samajbadi_Forum_Nepal-4,395
Nepal-Pradesh_1-Panchthar-1-NCP_UML-1,38641
Nepal-Pradesh_1-Panchthar-1-Nepali_Congress-2,28025
Nepal-Pradesh_1-Panchthar-1-Sanghiya_Samajbadi_Forum_Nepal-3,1994
Nepal-Pradesh_1-Panchthar-1-Sanghiya_Loktantrik-4,1593
Nepal-Pradesh_1-Ilam-1-NCP_UML-1,36805
Nepal-Pradesh_1-Ilam-1-Nepali_Congress-2,19638
Nepal-Pradesh_1-Ilam-1-Sanghiya_Samajbadi_Forum_Nepal-3,2059
Nepal-Pradesh_1-Ilam-1-Mangol_National_Org-4,1710
Nepal-Pradesh_1-Ilam-2-NCP_UML-1,36517
Nepal-Pradesh_1-Ilam-2-Nepali_Congress-2,26865
Nepal-Pradesh_1-Ilam-2-Sanghiya_Loktantrik-3,1761
Nepal-Pradesh_1-Ilam-2-Rastriya_Janamukti_Party-4,1308
Nepal-Pradesh_1-Jhapa-1-NCP_Maobadi-1,36173
Nepal-Pradesh_1-Jhapa-1-Nepali_Congress-2,33310
Nepal-Pradesh_1-Jhapa-1-Mangol_National_Org-3,1389
Nepal-Pradesh_1-Jhapa-1-Sanghiya_Samajbadi_Forum_Nepal-4,1044
Nepal-Pradesh_1-Jhapa-2-NCP_UML-1,45817
Nepal-Pradesh_1-Jhapa-2-Nepali_Congress-2,32050
Nepal-Pradesh_1-Jhapa-2-Bibeksheel_Sajha-3,1105
Nepal-Pradesh_1-Jhapa-2-Sanghiya_Loktantrik-4,608
Nepal-Pradesh_1-Jhapa-3-RPP-1,44614
Nepal-Pradesh_1-Jhapa-3-Nepali_Congress-2,31171
Nepal-Pradesh_1-Jhapa-3-NCP_Maale-3,1306
Nepal-Pradesh_1-Jhapa-3-Rastriya_Janata_Party-4,378
Nepal-Pradesh_1-Jhapa-4-NCP_UML-1,43515
Nepal-Pradesh_1-Jhapa-4-Nepali_Congress-2,26822
Nepal-Pradesh_1-Jhapa-4-Sanghiya_Loktantrik-3,1132
Nepal-Pradesh_1-Jhapa-4-Bibeksheel_Sajha-4,665
Nepal-Pradesh_1-Jhapa-5-NCP_UML-1,57139
Nepal-Pradesh_1-Jhapa-5-Nepali_Congress-2,28297
Nepal-Pradesh_1-Jhapa-5-Sanghiya_Samajbadi_Forum_Nepal-3,1915
Nepal-Pradesh_1-Jhapa-5-Sanghiya_Loktantrik-4,1380
Nepal-Pradesh_1-Sankhuwasabha-1-NCP_UML-1,32769
Nepal-Pradesh_1-Sankhuwasabha-1-Nepali_Congress-2,31639
Nepal-Pradesh_1-Sankhuwasabha-1-Sanghiya_Samajbadi_Forum_Nepal-3,587
Nepal-Pradesh_1-Sankhuwasabha-1-NayaSakti-4,230
Nepal-Pradesh_1-Terhathum-1-NCP_UML-1,21335
Nepal-Pradesh_1-Terhathum-1-Nepali_Congress-2,19314
