id,value
Nepal,1
Nepal.PN1,1.1
Nepal.PN1.Bhojpur,1.1.1
Nepal.PN1.Bhojpur.Bhojpur MCP,1.1.1.1
Nepal.PN1.Bhojpur.Bhojpur MCP.Ward_1,1.1.1.1.1
Nepal.PN1.Bhojpur.Bhojpur MCP.Ward_2,1.1.1.1.2
Nepal.PN1.Bhojpur.Bhojpur MCP.Ward_3,1.1.1.1.3
Nepal.PN1.Bhojpur.Bhojpur MCP.Ward_4,1.1.1.1.4
Nepal.PN1.Bhojpur.Bhojpur MCP.Ward_5,1.1.1.1.5
Nepal.PN1.Bhojpur.Bhojpur MCP.Ward_6,1.1.1.1.6
Nepal.PN1.Bhojpur.Bhojpur MCP.Ward_7,1.1.1.1.7
Nepal.PN1.Bhojpur.Bhojpur MCP.Ward_8,1.1.1.1.8
Nepal.PN1.Bhojpur.Bhojpur MCP.Ward_9,1.1.1.1.9
Nepal.PN1.Bhojpur.Bhojpur MCP.Ward_10,1.1.1.1.10
Nepal.PN1.Bhojpur.Bhojpur MCP.Ward_11,1.1.1.1.11
Nepal.PN1.Bhojpur.Bhojpur MCP.Ward_12,1.1.1.1.12
Nepal.PN1.Bhojpur.Shadanada MCP,1.1.1.2
Nepal.PN1.Bhojpur.Shadanada MCP.Ward_1,1.1.1.2.1
Nepal.PN1.Bhojpur.Shadanada MCP.Ward_2,1.1.1.2.2
Nepal.PN1.Bhojpur.Shadanada MCP.Ward_3,1.1.1.2.3
Nepal.PN1.Bhojpur.Shadanada MCP.Ward_4,1.1.1.2.4
Nepal.PN1.Bhojpur.Shadanada MCP.Ward_5,1.1.1.2.5
Nepal.PN1.Bhojpur.Shadanada MCP.Ward_6,1.1.1.2.6
Nepal.PN1.Bhojpur.Shadanada MCP.Ward_7,1.1.1.2.7
Nepal.PN1.Bhojpur.Shadanada MCP.Ward_8,1.1.1.2.8
Nepal.PN1.Bhojpur.Shadanada MCP.Ward_9,1.1.1.2.9
Nepal.PN1.Bhojpur.Shadanada MCP.Ward_10,1.1.1.2.10
Nepal.PN1.Bhojpur.Shadanada MCP.Ward_11,1.1.1.2.11
Nepal.PN1.Bhojpur.Shadanada MCP.Ward_12,1.1.1.2.12
Nepal.PN1.Bhojpur.Shadanada MCP.Ward_13,1.1.1.2.13
Nepal.PN1.Bhojpur.Shadanada MCP.Ward_14,1.1.1.2.14
Nepal.PN1.Bhojpur.Tyamke Maiyum RM,1.1.1.3
Nepal.PN1.Bhojpur.Tyamke Maiyum RM.Ward_1,1.1.1.3.1
Nepal.PN1.Bhojpur.Tyamke Maiyum RM.Ward_2,1.1.1.3.2
Nepal.PN1.Bhojpur.Tyamke Maiyum RM.Ward_3,1.1.1.3.3
Nepal.PN1.Bhojpur.Tyamke Maiyum RM.Ward_4,1.1.1.3.4
Nepal.PN1.Bhojpur.Tyamke Maiyum RM.Ward_5,1.1.1.3.5
Nepal.PN1.Bhojpur.Tyamke Maiyum RM.Ward_6,1.1.1.3.6
Nepal.PN1.Bhojpur.Tyamke Maiyum RM.Ward_7,1.1.1.3.7
Nepal.PN1.Bhojpur.Tyamke Maiyum RM.Ward_8,1.1.1.3.8
Nepal.PN1.Bhojpur.Tyamke Maiyum RM.Ward_9,1.1.1.3.9
Nepal.PN1.Bhojpur.Ram Prasad Rai RM,1.1.1.4
Nepal.PN1.Bhojpur.Ram Prasad Rai RM.Ward_1,1.1.1.4.1
Nepal.PN1.Bhojpur.Ram Prasad Rai RM.Ward_2,1.1.1.4.2
Nepal.PN1.Bhojpur.Ram Prasad Rai RM.Ward_3,1.1.1.4.3
Nepal.PN1.Bhojpur.Ram Prasad Rai RM.Ward_4,1.1.1.4.4
Nepal.PN1.Bhojpur.Ram Prasad Rai RM.Ward_5,1.1.1.4.5
Nepal.PN1.Bhojpur.Ram Prasad Rai RM.Ward_6,1.1.1.4.6
Nepal.PN1.Bhojpur.Ram Prasad Rai RM.Ward_7,1.1.1.4.7
Nepal.PN1.Bhojpur.Ram Prasad Rai RM.Ward_8,1.1.1.4.8
Nepal.PN1.Bhojpur.Arun RM,1.1.1.5
Nepal.PN1.Bhojpur.Arun RM.Ward_1,1.1.1.5.1
Nepal.PN1.Bhojpur.Arun RM.Ward_2,1.1.1.5.2
Nepal.PN1.Bhojpur.Arun RM.Ward_3,1.1.1.5.3
Nepal.PN1.Bhojpur.Arun RM.Ward_4,1.1.1.5.4
Nepal.PN1.Bhojpur.Arun RM.Ward_5,1.1.1.5.5
Nepal.PN1.Bhojpur.Arun RM.Ward_6,1.1.1.5.6
Nepal.PN1.Bhojpur.Arun RM.Ward_7,1.1.1.5.7
Nepal.PN1.Bhojpur.PauwaDungama RM,1.1.1.6
Nepal.PN1.Bhojpur.PauwaDungama RM.Ward_1,1.1.1.6.1
Nepal.PN1.Bhojpur.PauwaDungama RM.Ward_2,1.1.1.6.2
Nepal.PN1.Bhojpur.PauwaDungama RM.Ward_3,1.1.1.6.3
Nepal.PN1.Bhojpur.PauwaDungama RM.Ward_4,1.1.1.6.4
Nepal.PN1.Bhojpur.PauwaDungama RM.Ward_5,1.1.1.6.5
Nepal.PN1.Bhojpur.PauwaDungama RM.Ward_6,1.1.1.6.6
Nepal.PN1.Bhojpur.Salpasilichho RM,1.1.1.7
Nepal.PN1.Bhojpur.Salpasilichho RM.Ward_1,1.1.1.7.1
Nepal.PN1.Bhojpur.Salpasilichho RM.Ward_2,1.1.1.7.2
Nepal.PN1.Bhojpur.Salpasilichho RM.Ward_3,1.1.1.7.3
Nepal.PN1.Bhojpur.Salpasilichho RM.Ward_4,1.1.1.7.4
Nepal.PN1.Bhojpur.Salpasilichho RM.Ward_5,1.1.1.7.5
Nepal.PN1.Bhojpur.Salpasilichho RM.Ward_6,1.1.1.7.6
Nepal.PN1.Bhojpur.Aamchok RM,1.1.1.8
Nepal.PN1.Bhojpur.Aamchok RM.Ward_1,1.1.1.8.1
Nepal.PN1.Bhojpur.Aamchok RM.Ward_2,1.1.1.8.2
Nepal.PN1.Bhojpur.Aamchok RM.Ward_3,1.1.1.8.3
Nepal.PN1.Bhojpur.Aamchok RM.Ward_4,1.1.1.8.4
Nepal.PN1.Bhojpur.Aamchok RM.Ward_5,1.1.1.8.5
Nepal.PN1.Bhojpur.Aamchok RM.Ward_6,1.1.1.8.6
Nepal.PN1.Bhojpur.Aamchok RM.Ward_7,1.1.1.8.7
Nepal.PN1.Bhojpur.Aamchok RM.Ward_8,1.1.1.8.8
Nepal.PN1.Bhojpur.Aamchok RM.Ward_9,1.1.1.8.9
Nepal.PN1.Bhojpur.Aamchok RM.Ward_10,1.1.1.8.10
Nepal.PN1.Bhojpur.HatuwaGadhi RM,1.1.1.9
Nepal.PN1.Bhojpur.HatuwaGadhi RM.Ward_1,1.1.1.9.1
Nepal.PN1.Bhojpur.HatuwaGadhi RM.Ward_2,1.1.1.9.2
Nepal.PN1.Bhojpur.HatuwaGadhi RM.Ward_3,1.1.1.9.3
Nepal.PN1.Bhojpur.HatuwaGadhi RM.Ward_4,1.1.1.9.4
Nepal.PN1.Bhojpur.HatuwaGadhi RM.Ward_5,1.1.1.9.5
Nepal.PN1.Bhojpur.HatuwaGadhi RM.Ward_6,1.1.1.9.6
Nepal.PN1.Bhojpur.HatuwaGadhi RM.Ward_7,1.1.1.9.7
Nepal.PN1.Bhojpur.HatuwaGadhi RM.Ward_8,1.1.1.9.8
Nepal.PN1.Bhojpur.HatuwaGadhi RM.Ward_9,1.1.1.9.9
Nepal.PN1.Dhankuta,1.1.2
Nepal.PN1.Dhankuta.Pakhribas MCP,1.1.2.1
Nepal.PN1.Dhankuta.Pakhribas MCP.Ward_1,1.1.2.1.1
Nepal.PN1.Dhankuta.Pakhribas MCP.Ward_2,1.1.2.1.2
Nepal.PN1.Dhankuta.Pakhribas MCP.Ward_3,1.1.2.1.3
Nepal.PN1.Dhankuta.Pakhribas MCP.Ward_4,1.1.2.1.4
Nepal.PN1.Dhankuta.Pakhribas MCP.Ward_5,1.1.2.1.5
Nepal.PN1.Dhankuta.Pakhribas MCP.Ward_6,1.1.2.1.6
Nepal.PN1.Dhankuta.Pakhribas MCP.Ward_7,1.1.2.1.7
Nepal.PN1.Dhankuta.Pakhribas MCP.Ward_8,1.1.2.1.8
